ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
ECALLANTIDE,G74,List of FDA Approved Drugs,ECALLANTIDE,ECALLANTIDE - BLA,2009-12-01,2009-12-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ECULIZUMAB,G74,List of FDA Approved Drugs,ECULIZUMAB,ECULIZUMAB - BLA,2007-03-16,2007-03-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EDARAVONE,G74,List of FDA Approved Drugs,EDARAVONE,EDARAVONE - NDA,2017-05-05,2017-05-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EDOXABAN TOSYLATE,G74,List of FDA Approved Drugs,EDOXABAN TOSYLATE,EDOXABAN TOSYLATE - NDA,2015-01-08,2015-01-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EFAVIRENZ,G74,List of FDA Approved Drugs,EFAVIRENZ,EFAVIRENZ - NDA,1998-09-17,1998-09-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EFGARTIGIMOD ALFA,G74,List of FDA Approved Drugs,EFGARTIGIMOD ALFA,EFGARTIGIMOD ALFA - BLA,2021-12-17,2021-12-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EFINACONAZOLE,G74,List of FDA Approved Drugs,EFINACONAZOLE,EFINACONAZOLE - NDA,2014-06-06,2014-06-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EFLAPEGRASTIM-XNST,G74,List of FDA Approved Drugs,EFLAPEGRASTIM-XNST,EFLAPEGRASTIM-XNST - BLA,2022-09-09,2022-09-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELACESTRANT,G74,List of FDA Approved Drugs,ELACESTRANT,ELACESTRANT - NDA,2023-01-27,2023-01-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELAGOLIX,G74,List of FDA Approved Drugs,ELAGOLIX,ELAGOLIX - NDA,2018-07-23,2018-07-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELAPEGADEMASE-LVLR,G74,List of FDA Approved Drugs,ELAPEGADEMASE-LVLR,ELAPEGADEMASE-LVLR - BLA,2018-10-05,2018-10-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELBASVIR; GRAZOPREVIR,G74,List of FDA Approved Drugs,ELBASVIR; GRAZOPREVIR,ELBASVIR; GRAZOPREVIR - NDA,2016-01-28,2016-01-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELETRIPTAN HYDROBROMIDE,G74,List of FDA Approved Drugs,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE - NDA,2002-12-26,2002-12-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR",G74,List of FDA Approved Drugs,"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR","ELEXACAFTOR, IVACAFTOR, TEZACAFTOR; IVACAFTOR - NDA",2019-10-21,2019-10-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELIGLUSTAT,G74,List of FDA Approved Drugs,ELIGLUSTAT,ELIGLUSTAT - NDA,2014-08-19,2014-08-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELOSULFASE ALFA,G74,List of FDA Approved Drugs,ELOSULFASE ALFA,ELOSULFASE ALFA - BLA,2014-02-14,2014-02-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELOTUZUMAB,G74,List of FDA Approved Drugs,ELOTUZUMAB,ELOTUZUMAB - BLA,2015-11-30,2015-11-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELTROMBOPAG OLAMINE,G74,List of FDA Approved Drugs,ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE - NDA,2008-11-20,2008-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ELUXADOLINE,G74,List of FDA Approved Drugs,ELUXADOLINE,ELUXADOLINE - NDA,2015-05-27,2015-05-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EMAPALUMAB-LZSG,G74,List of FDA Approved Drugs,EMAPALUMAB-LZSG,EMAPALUMAB-LZSG - BLA,2018-11-20,2018-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EMICIZUMAB,G74,List of FDA Approved Drugs,EMICIZUMAB,EMICIZUMAB - BLA,2017-11-16,2017-11-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EMPAGLIFLOZIN,G74,List of FDA Approved Drugs,EMPAGLIFLOZIN,EMPAGLIFLOZIN - NDA,2014-08-01,2014-08-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EMTRICITABINE,G74,List of FDA Approved Drugs,EMTRICITABINE,EMTRICITABINE - NDA,2003-07-02,2003-07-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENASIDENIB,G74,List of FDA Approved Drugs,ENASIDENIB,ENASIDENIB - NDA,2017-08-01,2017-08-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENCORAFENIB,G74,List of FDA Approved Drugs,ENCORAFENIB,ENCORAFENIB - NDA,2018-06-27,2018-06-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENFORTUMAB VEDOTIN-EJFV,G74,List of FDA Approved Drugs,ENFORTUMAB VEDOTIN-EJFV,ENFORTUMAB VEDOTIN-EJFV - BLA,2019-12-18,2019-12-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENFUVIRTIDE,G74,List of FDA Approved Drugs,ENFUVIRTIDE,ENFUVIRTIDE - NDA,2003-03-13,2003-03-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENTACAPONE,G74,List of FDA Approved Drugs,ENTACAPONE,ENTACAPONE - NDA,1999-10-19,1999-10-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENTECAVIR,G74,List of FDA Approved Drugs,ENTECAVIR,ENTECAVIR - NDA,2005-03-29,2005-03-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENTRECTINIB,G74,List of FDA Approved Drugs,ENTRECTINIB,ENTRECTINIB - NDA,2019-08-15,2019-08-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ENZALUTAMIDE,G74,List of FDA Approved Drugs,ENZALUTAMIDE,ENZALUTAMIDE - NDA,2012-08-31,2012-08-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EPINASTINE,G74,List of FDA Approved Drugs,EPINASTINE,EPINASTINE - NDA,2003-10-16,2003-10-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EPIRUBICIN,G74,List of FDA Approved Drugs,EPIRUBICIN,EPIRUBICIN - NDA,1999-09-15,1999-09-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EPLERENONE,G74,List of FDA Approved Drugs,EPLERENONE,EPLERENONE - NDA,2002-09-27,2002-09-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EPTIFIBATIDE,G74,List of FDA Approved Drugs,EPTIFIBATIDE,EPTIFIBATIDE - NDA,1998-05-18,1998-05-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EPTINEZUMAB-JJMR,G74,List of FDA Approved Drugs,EPTINEZUMAB-JJMR,EPTINEZUMAB-JJMR - BLA,2020-02-21,2020-02-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERAVACYCLINE DIHYDROCHLORIDE,G74,List of FDA Approved Drugs,ERAVACYCLINE DIHYDROCHLORIDE,ERAVACYCLINE DIHYDROCHLORIDE - NDA,2018-08-27,2018-08-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERDAFITINIB,G74,List of FDA Approved Drugs,ERDAFITINIB,ERDAFITINIB - NDA,2019-04-12,2019-04-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERENUMAB-AOOE,G74,List of FDA Approved Drugs,ERENUMAB-AOOE,ERENUMAB-AOOE - BLA,2018-05-17,2018-05-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERIBULIN,G74,List of FDA Approved Drugs,ERIBULIN,ERIBULIN - NDA,2010-11-15,2010-11-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERLOTINIB,G74,List of FDA Approved Drugs,ERLOTINIB,ERLOTINIB - NDA,2004-11-18,2004-11-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERTAPENEM,G74,List of FDA Approved Drugs,ERTAPENEM,ERTAPENEM - NDA,2001-11-21,2001-11-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ERTUGLIFLOZIN,G74,List of FDA Approved Drugs,ERTUGLIFLOZIN,ERTUGLIFLOZIN - NDA,2017-12-19,2017-12-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ESLICARBAZEPINE,G74,List of FDA Approved Drugs,ESLICARBAZEPINE,ESLICARBAZEPINE - NDA,2013-11-08,2013-11-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ESZOPICLONE,G74,List of FDA Approved Drugs,ESZOPICLONE,ESZOPICLONE - NDA,2004-12-15,2004-12-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETANERCEPT,G74,List of FDA Approved Drugs,ETANERCEPT,ETANERCEPT - BLA,1998-11-02,1998-11-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETELCALCETIDE,G74,List of FDA Approved Drugs,ETELCALCETIDE,ETELCALCETIDE - NDA,2017-02-07,2017-02-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETEPLIRSEN,G74,List of FDA Approved Drugs,ETEPLIRSEN,ETEPLIRSEN - NDA,2016-09-19,2016-09-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETHINYL ESTRADIOL; ETONOGESTREL,G74,List of FDA Approved Drugs,ETHINYL ESTRADIOL; ETONOGESTREL,ETHINYL ESTRADIOL; ETONOGESTREL - NDA,2001-10-03,2001-10-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETHINYL ESTRADIOL; NORELGESTROMIN,G74,List of FDA Approved Drugs,ETHINYL ESTRADIOL; NORELGESTROMIN,ETHINYL ESTRADIOL; NORELGESTROMIN - NDA,2001-11-20,2001-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETHINYL ESTRADIOL; SEGESTERONE,G74,List of FDA Approved Drugs,ETHINYL ESTRADIOL; SEGESTERONE,ETHINYL ESTRADIOL; SEGESTERONE - NDA,2018-08-10,2018-08-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ETRAVIRINE,G74,List of FDA Approved Drugs,ETRAVIRINE,ETRAVIRINE - NDA,2008-01-18,2008-01-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EVEROLIMUS,G74,List of FDA Approved Drugs,EVEROLIMUS,EVEROLIMUS - NDA,2009-03-30,2009-03-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EVINACUMAB-DGNB,G74,List of FDA Approved Drugs,EVINACUMAB-DGNB,EVINACUMAB-DGNB - BLA,2021-02-11,2021-02-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EVOLOCUMAB,G74,List of FDA Approved Drugs,EVOLOCUMAB,EVOLOCUMAB - BLA,2015-08-27,2015-08-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EXEMESTANE,G74,List of FDA Approved Drugs,EXEMESTANE,EXEMESTANE - NDA,1999-10-21,1999-10-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EXENATIDE SYNTHETIC,G74,List of FDA Approved Drugs,EXENATIDE SYNTHETIC,EXENATIDE SYNTHETIC - NDA,2005-04-28,2005-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EZETIMIBE,G74,List of FDA Approved Drugs,EZETIMIBE,EZETIMIBE - NDA,2002-10-25,2002-10-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
EZOGABINE,G74,List of FDA Approved Drugs,EZOGABINE,EZOGABINE - NDA,2011-06-10,2011-06-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FAM-TRASTUZUMAB DERUXTECAN-NXKI,G74,List of FDA Approved Drugs,FAM-TRASTUZUMAB DERUXTECAN-NXKI,FAM-TRASTUZUMAB DERUXTECAN-NXKI - BLA,2019-12-20,2019-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FARICIMAB-SVOA,G74,List of FDA Approved Drugs,FARICIMAB-SVOA,FARICIMAB-SVOA - BLA,2022-01-28,2022-01-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FEBUXOSTAT,G74,List of FDA Approved Drugs,FEBUXOSTAT,FEBUXOSTAT - NDA,2009-02-13,2009-02-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FEDRATINIB,G74,List of FDA Approved Drugs,FEDRATINIB,FEDRATINIB - NDA,2019-08-16,2019-08-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FERRIC HEXACYANOFERRATE(II),G74,List of FDA Approved Drugs,FERRIC HEXACYANOFERRATE(II),FERRIC HEXACYANOFERRATE(II) - NDA,2003-10-02,2003-10-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FERRIC MALTOL,G74,List of FDA Approved Drugs,FERRIC MALTOL,FERRIC MALTOL - NDA,2019-07-25,2019-07-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FERRIC OXYHYDROXIDE,G74,List of FDA Approved Drugs,FERRIC OXYHYDROXIDE,FERRIC OXYHYDROXIDE - NDA,1999-02-18,1999-02-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FESOTERODINE,G74,List of FDA Approved Drugs,FESOTERODINE,FESOTERODINE - NDA,2008-10-31,2008-10-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FEXINIDAZOLE,G74,List of FDA Approved Drugs,FEXINIDAZOLE,FEXINIDAZOLE - NDA,2021-07-16,2021-07-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
FIDAXOMICIN,G74,List of FDA Approved Drugs,FIDAXOMICIN,FIDAXOMICIN - NDA,2011-05-27,2011-05-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
